name,genres,year,country,producer,imdb_rating,link
Мертвечина,фильм ужасов,2004,Ирландия,Конор МакМахон,4.7,https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%80%D1%82%D0%B2%D0%B5%D1%87%D0%B8%D0%BD%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Кукольник,"фильм ужасов, , ,мелодрама, ",2004,,Чон Ёнги,5.7,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BA%D0%BE%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Мучение,"драма,фильм ужасов",2004,Франция,Фабрис Дю Вельц,6.1,https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Куб Ноль,"фантастика,ужасы",2004,Канада,Эрни Барбараш,5.6,https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B1_%D0%9D%D0%BE%D0%BB%D1%8C
Изгоняющий дьявола: Начало,фильм ужасов,2004,США,Ренни Харлин,5.1,https://ru.wikipedia.org/wiki/%D0%98%D0%B7%D0%B3%D0%BE%D0%BD%D1%8F%D1%8E%D1%89%D0%B8%D0%B9_%D0%B4%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB%D0%B0:_%D0%9D%D0%B0%D1%87%D0%B0%D0%BB%D0%BE
Клуб страха,"Ужасы,, ,комедия",2004,,Джей Чандрашекхар,5.7,https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D1%83%D0%B1_%D1%83%D0%B6%D0%B0%D1%81%D0%BE%D0%B2
Кукла,"фильм ужасов,кинокомедия",2004,,Адам Шерман,4.0,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BA%D0%BB%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2004)"
Злоумышленник,фильм ужасов,2004,,Стивен Мена,5.0,"https://ru.wikipedia.org/wiki/%D0%97%D0%BB%D0%BE%D1%83%D0%BC%D1%8B%D1%88%D0%BB%D0%B5%D0%BD%D0%BD%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2004)"
Змеиная битва,"ужасы,, ,фантастика",2004,,Дэвид Флорес,2.8,https://ru.wikipedia.org/wiki/%D0%97%D0%BC%D0%B5%D0%B8%D0%BD%D0%B0%D1%8F_%D0%B1%D0%B8%D1%82%D0%B2%D0%B0
Дом страха,"эротика,триллер",2004,,Билл Батлер,5.4,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC_%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0
Зомби по имени Шон,"зомби-комедия,Рок,, ,альтернативный рок,, ,ска,, ,хип-хоп,, ,электро",2003,Великобритания,Эдгар Райт,7.9,https://ru.wikipedia.org/wiki/%D0%97%D0%BE%D0%BC%D0%B1%D0%B8_%D0%BF%D0%BE_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%A8%D0%BE%D0%BD
Дориан Грей. Дьявольский портрет,"фильм ужасов,триллер",2004,Великобритания,Аллан А. Голдштайн,3.8,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D1%80%D0%B8%D0%B0%D0%BD_%D0%93%D1%80%D0%B5%D0%B9._%D0%94%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82
Верхом на пуле,"мистический триллер,драма,чёрная комедия,фильм ужасов",2004,США,Мик Гаррис,5.2,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D1%85%D0%BE%D0%BC_%D0%BD%D0%B0_%D0%BF%D1%83%D0%BB%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Долина смерти,фильм ужасов,2004,США,Байрон Вернер,3.0,"https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BB%D0%B8%D0%BD%D0%B0_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2004)"
Дьявол возвращается,фильм ужасов,2004,,Джеймс Мерендино,3.9,https://ru.wikipedia.org/wiki/%D0%94%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB_%D0%B2%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B0%D0%B5%D1%82%D1%81%D1%8F
Глаз 2,фильм ужасов,2004,,Оксид Пан,5.7,https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D0%B7_2
Вампиры против зомби,Фильм ужасов,2004,США,Винс д'Амато,1.6,https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%BC%D0%BF%D0%B8%D1%80%D1%8B_%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2_%D0%B7%D0%BE%D0%BC%D0%B1%D0%B8
Возвращение Джека Потрошителя 2,фильм ужасов,2004,Великобритания,Джонас Куастел,3.4,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5_%D0%94%D0%B6%D0%B5%D0%BA%D0%B0_%D0%9F%D0%BE%D1%82%D1%80%D0%BE%D1%88%D0%B8%D1%82%D0%B5%D0%BB%D1%8F_2
Блэйд: Троица,"Супергеройский фильм,, ,технофэнтези,, ,фильм о вампирах,биг-бит,хип-хоп,рок-музыка,электронная музыка",1972,США,Дэвид Гойер,5.8,https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D1%8D%D0%B9%D0%B4:_%D0%A2%D1%80%D0%BE%D0%B8%D1%86%D0%B0
Божий приют,"фильм ужасов, ,комедия",2004,США,Кеннет Дж. Холл,4.3,https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B6%D0%B8%D0%B9_%D0%BF%D1%80%D0%B8%D1%8E%D1%82
Восставший из ада 8: Адский мир,фильм ужасов,2005,США,Рик Бота,4.2,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%B2%D1%88%D0%B8%D0%B9_%D0%B8%D0%B7_%D0%B0%D0%B4%D0%B0_8:_%D0%9C%D0%B8%D1%80_%D0%B0%D0%B4%D0%B0
Шесть демонов Эмили Роуз,"фильм ужасов, ,триллер,мистика,[1]",2005,,Скотт Дерриксон,6.7,https://ru.wikipedia.org/wiki/%D0%A8%D0%B5%D1%81%D1%82%D1%8C_%D0%B4%D0%B5%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2_%D0%AD%D0%BC%D0%B8%D0%BB%D0%B8_%D0%A0%D0%BE%D1%83%D0%B7
Анаконда 2: Охота за проклятой орхидеей,"природный фильм ужасов,приключения",2004,США,Дуайт Литтл,4.7,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D0%BA%D0%BE%D0%BD%D0%B4%D0%B0_2:_%D0%9E%D1%85%D0%BE%D1%82%D0%B0_%D0%B7%D0%B0_%D0%BF%D1%80%D0%BE%D0%BA%D0%BB%D1%8F%D1%82%D0%BE%D0%B9_%D0%BE%D1%80%D1%85%D0%B8%D0%B4%D0%B5%D0%B5%D0%B9
Без кожи,Фильм ужасов,2004,,Гейб Бартолос,4.1,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B7_%D0%BA%D0%BE%D0%B6%D0%B8
Человек-змея,"телефильм ужасов,[d]",2005,,Аллан А. Голдштейн,2.9,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA-%D0%B7%D0%BC%D0%B5%D1%8F
